"","date","all","a014y","a1564y","a6574y","a7584y","a85plusy","mal","fem","inf","ment","cvd","resp","uri","station","f_id","temp"
"1","1998-01-01",1,0,1,0,0,0,1,0,0,1,0,0,0,"Altdorf",9,4.5
"2","1998-01-02",1,0,0,0,0,1,1,0,0,0,1,0,0,"Altdorf",99,8.9
"3","1998-01-03",1,0,0,0,1,0,0,1,0,0,1,0,0,"Altdorf",8,6.2
"4","1998-01-04",1,0,1,0,0,0,1,0,0,0,0,0,1,"Altdorf",36,6.6
"5","1998-01-05",1,0,0,1,0,0,0,1,0,0,1,0,0,"Altdorf",58,6.6
"6","1998-01-07",2,0,1,0,0,1,0,2,0,1,1,0,0,"Altdorf",0,6.6
"7","1998-01-08",2,0,2,0,0,0,1,1,0,1,1,0,0,"Altdorf",0,5
"8","1998-01-09",5,0,2,0,3,0,1,4,0,1,4,0,0,"Altdorf",0,3.3
"9","1998-01-10",1,0,1,0,0,0,1,0,0,0,1,0,0,"Altdorf",0,0.9
"10","1998-01-11",3,1,2,0,0,0,2,1,0,1,0,1,1,"Altdorf",0,0.6
"11","1998-01-12",1,0,1,0,0,0,1,0,0,0,0,1,0,"Altdorf",0,2.3
"12","1998-01-15",2,0,1,0,0,1,1,1,0,1,1,0,0,"Altdorf",0,4.8
"13","1998-01-16",1,0,1,0,0,0,1,0,0,1,0,0,0,"Altdorf",0,4.2
"14","1998-01-18",2,0,1,0,1,0,2,0,0,0,1,0,1,"Altdorf",148,4.2
"15","1998-01-19",1,0,0,1,0,0,0,1,0,0,1,0,0,"Altdorf",58,5.7
"16","1998-01-22",2,0,1,0,1,0,1,1,0,0,1,1,0,"Altdorf",0,-1.2
"17","1998-01-23",1,0,1,0,0,0,0,1,0,1,0,0,0,"Altdorf",0,-2.7
"18","1998-01-26",1,0,0,0,1,0,0,1,0,0,1,0,0,"Altdorf",0,-1.2
"19","1998-01-27",3,1,1,0,0,1,2,1,1,1,0,1,0,"Altdorf",0,-3.3
"20","1998-01-29",1,0,1,0,0,0,1,0,0,0,0,0,1,"Altdorf",0,-2.4
"21","1998-01-30",4,2,0,1,0,1,1,3,0,0,1,3,0,"Altdorf",0,-2.5
"22","1998-01-31",1,0,0,0,0,1,0,1,0,0,0,1,0,"Altdorf",0,-2
"23","1998-02-01",5,2,1,1,0,1,1,4,0,1,2,2,0,"Altdorf",0,-2.3
"24","1998-02-03",1,1,0,0,0,0,0,1,1,0,0,0,0,"Altdorf",0,-0.6
"25","1998-02-04",3,0,1,1,1,0,3,0,0,0,1,1,1,"Altdorf",0,-1.2
"26","1998-02-05",3,0,0,1,2,0,3,0,2,0,1,0,0,"Altdorf",0,-1.7
"27","1998-02-06",1,0,1,0,0,0,1,0,0,0,0,0,1,"Altdorf",0,-1.7
"28","1998-02-07",2,0,2,0,0,0,1,1,1,0,0,0,1,"Altdorf",0,-0.4
"29","1998-02-09",2,0,1,1,0,0,1,1,1,0,1,0,0,"Altdorf",0,0.5
"30","1998-02-10",1,0,0,1,0,0,0,1,0,0,0,1,0,"Altdorf",0,2.3
"31","1998-02-11",2,0,0,2,0,0,2,0,0,0,1,1,0,"Altdorf",0,3.7
"32","1998-02-12",2,0,0,0,2,0,1,1,0,1,0,1,0,"Altdorf",0,3.7
"33","1998-02-13",1,0,1,0,0,0,0,1,0,0,0,1,0,"Altdorf",0,4.2
"34","1998-02-14",1,1,0,0,0,0,1,0,1,0,0,0,0,"Altdorf",0,4.2
"35","1998-02-15",2,0,1,1,0,0,2,0,0,1,1,0,0,"Altdorf",0,5.1
"36","1998-02-16",3,1,1,0,0,1,2,1,0,0,1,1,1,"Altdorf",0,6.5
"37","1998-02-18",4,0,2,1,1,0,1,3,0,0,1,2,1,"Altdorf",0,2.4
