"","date","all","a014y","a1564y","a6574y","a7584y","a85plusy","mal","fem","inf","ment","cvd","resp","uri","station","f_id","temp"
"1","2005-12-01",1,0,1,0,0,0,1,0,0,1,0,0,0,"Lugano",NA,2.4
"2","2006-12-21",1,0,1,0,0,0,1,0,0,1,0,0,0,"Lugano",0,3.1
"3","2007-07-24",1,0,1,0,0,0,1,0,0,1,0,0,0,"Lugano",90,23.4
"4","2007-09-14",1,0,1,0,0,0,0,1,0,1,0,0,0,"Lugano",0,18.4
"5","2007-10-05",1,0,1,0,0,0,0,1,0,1,0,0,0,"Lugano",0,18.1
"6","2007-10-18",1,0,1,0,0,0,1,0,0,1,0,0,0,"Lugano",101,13.3
"7","2007-10-30",1,0,1,0,0,0,1,0,0,1,0,0,0,"Lugano",0,12.1
"8","2007-10-31",1,0,1,0,0,0,0,1,0,1,0,0,0,"Lugano",0,11.9
"9","2007-11-18",1,0,0,1,0,0,1,0,0,1,0,0,0,"Lugano",0,2.6
"10","2007-11-30",2,0,1,1,0,0,0,2,0,2,0,0,0,"Lugano",0,4.5
"11","2007-12-05",1,0,0,1,0,0,0,1,1,0,0,0,0,"Lugano",0,6.1
"12","2007-12-09",1,0,0,0,1,0,1,0,0,0,1,0,0,"Lugano",0,5.5
"13","2007-12-18",2,0,0,2,0,0,1,1,0,0,1,1,0,"Lugano",0,-0.2
"14","2007-12-19",1,0,1,0,0,0,0,1,0,1,0,0,0,"Lugano",0,0.6
"15","2007-12-20",1,0,1,0,0,0,1,0,0,0,0,1,0,"Lugano",0,2.2
"16","2007-12-21",2,0,2,0,0,0,0,2,0,2,0,0,0,"Lugano",0,2.8
"17","2007-12-23",1,0,1,0,0,0,1,0,0,0,1,0,0,"Lugano",0,3.9
"18","2007-12-24",4,0,1,2,1,0,2,2,0,1,3,0,0,"Lugano",0,2.8
"19","2007-12-26",1,0,0,0,1,0,1,0,0,0,0,1,0,"Lugano",0,4.8
"20","2007-12-27",4,0,2,1,1,0,4,0,1,2,0,1,0,"Lugano",0,2.6
"21","2007-12-28",2,0,0,0,2,0,1,1,0,0,1,1,0,"Lugano",0,2.3
"22","2007-12-29",4,1,1,2,0,0,3,1,0,2,1,0,1,"Lugano",0,2
