"","date","all","a014y","a1564y","a6574y","a7584y","a85plusy","mal","fem","inf","ment","cvd","resp","uri","station","f_id","temp"
"1","2007-12-26",1,0,1,0,0,0,1,0,0,0,1,0,0,"Poschiavo",NA,-1.8
"2","2007-12-28",1,0,1,0,0,0,1,0,0,1,0,0,0,"Poschiavo",NA,-3.9
"3","2008-01-05",1,0,0,1,0,0,1,0,0,0,1,0,0,"Poschiavo",NA,-0.5
"4","2008-01-14",1,0,0,0,0,1,1,0,0,0,0,1,0,"Poschiavo",NA,0.4
"5","2008-01-22",1,0,0,0,0,1,0,1,0,0,0,0,1,"Poschiavo",NA,1
"6","2008-01-25",2,0,1,1,0,0,1,1,0,1,0,1,0,"Poschiavo",118,4.1
"7","2008-01-26",1,0,0,0,1,0,1,0,0,0,0,1,0,"Poschiavo",22,0.8
"8","2008-01-28",1,0,1,0,0,0,0,1,0,0,0,0,1,"Poschiavo",75,7.9
"9","2008-02-04",3,0,1,0,1,1,0,3,1,1,1,0,0,"Poschiavo",2,-0.5
"10","2008-02-06",1,0,1,0,0,0,1,0,0,0,1,0,0,"Poschiavo",57,1.8
"11","2008-02-12",1,0,0,0,0,1,1,0,0,0,1,0,0,"Poschiavo",0,-1.7
"12","2008-02-14",1,0,0,0,1,0,0,1,0,0,1,0,0,"Poschiavo",0,-0.7
"13","2008-02-29",1,0,0,0,1,0,0,1,0,0,1,0,0,"Poschiavo",0,4.3
"14","2008-03-01",1,0,1,0,0,0,0,1,0,1,0,0,0,"Poschiavo",58,6
"15","2008-03-03",1,0,0,1,0,0,1,0,0,0,1,0,0,"Poschiavo",1,6.4
"16","2008-03-05",1,0,0,0,0,1,1,0,0,0,0,1,0,"Poschiavo",278,0
"17","2008-03-06",1,0,0,0,1,0,0,1,0,0,1,0,0,"Poschiavo",2,-2.1
"18","2008-03-10",1,0,1,0,0,0,1,0,0,0,0,1,0,"Poschiavo",0,2
"19","2008-03-23",1,0,1,0,0,0,1,0,0,0,1,0,0,"Poschiavo",153,-0.1
"20","2008-04-05",2,1,0,1,0,0,1,1,1,0,1,0,0,"Poschiavo",58,3.8
"21","2008-04-06",1,0,1,0,0,0,1,0,0,1,0,0,0,"Poschiavo",0,2.5
"22","2008-04-10",1,0,0,0,1,0,0,1,0,0,1,0,0,"Poschiavo",0,5.4
"23","2008-04-15",1,0,0,0,1,0,0,1,0,0,0,1,0,"Poschiavo",288,5.4
"24","2008-04-18",1,0,0,0,1,0,0,1,0,0,0,1,0,"Poschiavo",0,4.5
"25","2008-04-19",1,0,1,0,0,0,1,0,0,0,1,0,0,"Poschiavo",0,6.1
"26","2008-04-20",1,0,0,0,1,0,1,0,0,0,1,0,0,"Poschiavo",0,7.7
"27","2008-04-21",1,0,0,0,1,0,1,0,0,0,1,0,0,"Poschiavo",0,5.3
"28","2008-04-25",1,0,1,0,0,0,0,1,0,0,0,1,0,"Poschiavo",186,9.9
"29","2008-04-28",2,0,1,0,0,1,1,1,0,0,2,0,0,"Poschiavo",0,9
"30","2008-04-30",1,0,0,0,1,0,1,0,0,0,0,1,0,"Poschiavo",0,7.5
"31","2008-05-04",1,0,0,0,1,0,1,0,0,0,1,0,0,"Poschiavo",6,12.4
"32","2008-05-06",1,0,0,0,1,0,1,0,0,0,0,1,0,"Poschiavo",50,9.9
"33","2008-05-16",1,0,0,0,0,1,0,1,0,0,0,1,0,"Poschiavo",0,10.4
"34","2008-05-19",1,0,0,1,0,0,1,0,0,0,0,1,0,"Poschiavo",5,9.9
"35","2008-05-21",1,0,1,0,0,0,0,1,0,1,0,0,0,"Poschiavo",0,10.2
"36","2008-05-27",1,0,0,0,1,0,1,0,0,0,0,1,0,"Poschiavo",0,16.8
"37","2008-05-29",1,0,0,0,0,1,0,1,0,0,1,0,0,"Poschiavo",0,14.7
"38","2008-05-30",1,0,1,0,0,0,1,0,0,0,1,0,0,"Poschiavo",0,11
"39","2008-06-07",1,0,1,0,0,0,0,1,0,1,0,0,0,"Poschiavo",0,12.1
"40","2008-06-09",1,0,0,1,0,0,1,0,0,0,0,1,0,"Poschiavo",0,12.9
"41","2008-06-17",1,0,0,0,1,0,0,1,0,0,0,1,0,"Poschiavo",0,10.3
"42","2008-06-19",1,0,1,0,0,0,0,1,0,0,0,1,0,"Poschiavo",0,16.1
"43","2008-06-24",1,0,1,0,0,0,1,0,0,0,1,0,0,"Poschiavo",0,19.4
"44","2008-06-27",1,0,1,0,0,0,0,1,0,1,0,0,0,"Poschiavo",78,19.9
"45","2008-07-06",2,0,2,0,0,0,2,0,1,0,1,0,0,"Poschiavo",0,14.5
"46","2008-07-07",1,0,1,0,0,0,1,0,0,0,0,0,1,"Poschiavo",0,12.8
"47","2008-07-10",1,0,0,0,1,0,1,0,0,0,0,1,0,"Poschiavo",0,16.4
"48","2008-07-15",1,0,1,0,0,0,0,1,0,0,0,0,1,"Poschiavo",25,13.3
"49","2008-07-19",1,0,0,1,0,0,1,0,0,0,1,0,0,"Poschiavo",0,15.3
"50","2008-07-20",1,0,0,0,1,0,0,1,0,0,1,0,0,"Poschiavo",0,15.6
"51","2008-07-27",1,0,0,0,1,0,1,0,0,0,1,0,0,"Poschiavo",0,15.6
"52","2008-07-31",1,0,1,0,0,0,0,1,0,0,0,1,0,"Poschiavo",0,18
"53","2008-08-03",1,0,0,1,0,0,0,1,0,0,0,0,1,"Poschiavo",0,17.5
"54","2008-08-20",1,0,0,0,0,1,0,1,0,0,1,0,0,"Poschiavo",0,16.2
"55","2008-08-22",1,0,0,0,0,1,0,1,0,0,1,0,0,"Poschiavo",NA,16.5
"56","2008-08-25",1,0,1,0,0,0,0,1,0,1,0,0,0,"Poschiavo",NA,13.7
"57","2008-09-12",1,0,1,0,0,0,1,0,0,0,0,0,1,"Poschiavo",0,14.4
"58","2008-09-17",1,0,1,0,0,0,1,0,0,0,0,0,1,"Poschiavo",0,6.7
"59","2008-09-19",1,0,0,0,1,0,1,0,0,0,1,0,0,"Poschiavo",67,12.1
"60","2008-09-28",1,0,1,0,0,0,1,0,0,1,0,0,0,"Poschiavo",0,7.7
"61","2008-10-03",1,0,0,1,0,0,1,0,0,0,1,0,0,"Poschiavo",30,6.4
"62","2008-10-11",1,0,1,0,0,0,1,0,0,1,0,0,0,"Poschiavo",0,8.6
"63","2008-10-15",1,0,0,0,0,1,0,1,0,0,0,0,1,"Poschiavo",0,10.9
"64","2008-10-17",1,0,1,0,0,0,1,0,1,0,0,0,0,"Poschiavo",69,8.8
"65","2008-10-22",1,0,0,0,1,0,0,1,0,0,1,0,0,"Poschiavo",0,10
"66","2008-10-25",1,0,0,1,0,0,1,0,0,0,0,0,1,"Poschiavo",0,8.1
"67","2008-10-26",1,0,0,0,0,1,1,0,0,0,0,1,0,"Poschiavo",0,7.2
"68","2008-10-30",1,0,0,1,0,0,1,0,0,0,0,0,1,"Poschiavo",0,4.1
"69","2008-11-03",2,0,1,0,0,1,2,0,0,1,1,0,0,"Poschiavo",0,6.5
"70","2008-11-05",1,0,1,0,0,0,0,1,0,1,0,0,0,"Poschiavo",0,6.7
"71","2008-11-06",1,0,1,0,0,0,1,0,1,0,0,0,0,"Poschiavo",0,5.6
"72","2008-11-07",1,0,0,0,0,1,0,1,0,0,0,0,1,"Poschiavo",0,5.4
"73","2008-11-11",2,0,2,0,0,0,0,2,0,0,2,0,0,"Poschiavo",0,5.3
"74","2008-11-13",1,0,0,0,1,0,1,0,0,0,1,0,0,"Poschiavo",12,4.9
"75","2008-11-14",1,0,1,0,0,0,0,1,0,0,0,1,0,"Poschiavo",0,2.9
"76","2008-11-15",1,0,1,0,0,0,1,0,0,0,1,0,0,"Poschiavo",0,2.4
"77","2008-11-17",1,0,1,0,0,0,1,0,0,1,0,0,0,"Poschiavo",183,7.2
"78","2008-11-18",1,0,0,1,0,0,1,0,0,0,1,0,0,"Poschiavo",0,-0.1
"79","2008-11-22",1,0,1,0,0,0,0,1,0,0,0,1,0,"Poschiavo",220,-1.6
"80","2008-11-23",1,0,1,0,0,0,0,1,0,0,0,1,0,"Poschiavo",82,-2.7
"81","2008-11-24",1,0,0,0,0,1,1,0,0,0,1,0,0,"Poschiavo",0,-4.9
"82","2008-11-26",1,0,0,1,0,0,0,1,0,0,0,1,0,"Poschiavo",1,-3.8
"83","2008-11-30",1,0,0,0,0,1,0,1,0,0,0,1,0,"Poschiavo",0,0.4
"84","2008-12-03",1,0,1,0,0,0,1,0,0,0,1,0,0,"Poschiavo",0,-5.9
"85","2008-12-05",1,0,0,1,0,0,1,0,0,0,1,0,0,"Poschiavo",0,-1.1
"86","2008-12-08",1,0,1,0,0,0,1,0,0,0,0,0,1,"Poschiavo",0,-6.5
"87","2008-12-15",1,0,0,0,0,1,1,0,0,0,0,1,0,"Poschiavo",0,1.7
"88","2008-12-16",2,0,2,0,0,0,1,1,0,0,0,1,1,"Poschiavo",0,1.9
"89","2008-12-18",1,0,0,0,0,1,0,1,0,0,1,0,0,"Poschiavo",288,5
"90","2008-12-20",1,0,1,0,0,0,0,1,0,1,0,0,0,"Poschiavo",288,8.1
"91","2008-12-24",1,1,0,0,0,0,0,1,0,0,0,1,0,"Poschiavo",42,2.3
"92","2008-12-30",1,0,0,0,0,1,1,0,0,0,1,0,0,"Poschiavo",0,-4.2
"93","2009-01-07",1,0,1,0,0,0,1,0,1,0,0,0,0,"Poschiavo",0,-3.7
"94","2009-01-10",1,0,0,0,0,1,0,1,0,0,0,1,0,"Poschiavo",0,-5.6
"95","2009-01-14",2,0,1,0,1,0,2,0,0,0,0,2,0,"Poschiavo",195,2.8
"96","2009-01-18",1,0,0,0,1,0,0,1,0,0,1,0,0,"Poschiavo",0,-2.5
"97","2009-01-21",1,0,0,0,1,0,1,0,0,0,1,0,0,"Poschiavo",2,0.6
"98","2009-01-31",1,0,0,1,0,0,0,1,0,0,1,0,0,"Poschiavo",0,-4.5
"99","2009-02-03",1,0,0,1,0,0,0,1,0,0,0,0,1,"Poschiavo",0,0.5
"100","2009-02-11",1,0,0,0,0,1,0,1,0,0,0,1,0,"Poschiavo",288,-0.5
"101","2009-02-12",1,0,0,0,0,1,1,0,0,0,0,1,0,"Poschiavo",288,-2.5
"102","2009-02-17",1,0,1,0,0,0,1,0,0,1,0,0,0,"Poschiavo",127,-1
"103","2009-02-20",2,0,1,0,0,1,2,0,0,1,0,1,0,"Poschiavo",141,-1.5
"104","2009-02-22",1,0,1,0,0,0,1,0,0,0,1,0,0,"Poschiavo",248,5.6
"105","2009-02-25",1,0,1,0,0,0,1,0,0,1,0,0,0,"Poschiavo",16,-2.9
"106","2009-02-27",1,0,1,0,0,0,0,1,0,0,0,0,1,"Poschiavo",214,6.1
"107","2009-03-20",1,0,1,0,0,0,0,1,0,1,0,0,0,"Poschiavo",281,0.3
"108","2009-03-23",1,0,0,0,1,0,1,0,0,0,1,0,0,"Poschiavo",216,7.9
"109","2009-03-30",1,0,1,0,0,0,1,0,0,0,1,0,0,"Poschiavo",0,6.3
"110","2009-04-02",1,0,0,1,0,0,0,1,0,0,0,1,0,"Poschiavo",0,7.8
"111","2009-04-08",1,1,0,0,0,0,1,0,0,0,0,1,0,"Poschiavo",0,8.6
"112","2009-04-12",1,0,1,0,0,0,0,1,0,0,0,0,1,"Poschiavo",0,8.9
"113","2009-04-18",1,1,0,0,0,0,0,1,1,0,0,0,0,"Poschiavo",0,6.9
"114","2009-04-20",1,0,1,0,0,0,1,0,0,1,0,0,0,"Poschiavo",0,9.2
"115","2009-04-25",1,0,0,1,0,0,1,0,0,0,0,1,0,"Poschiavo",0,7.4
"116","2009-05-07",1,0,0,0,1,0,1,0,0,0,1,0,0,"Poschiavo",0,11.2
"117","2009-05-09",1,0,0,0,0,1,1,0,0,0,0,0,1,"Poschiavo",0,11.8
"118","2009-05-15",1,0,1,0,0,0,0,1,0,1,0,0,0,"Poschiavo",0,9.8
"119","2009-05-18",1,0,1,0,0,0,0,1,0,1,0,0,0,"Poschiavo",0,13.9
"120","2009-05-22",1,0,1,0,0,0,0,1,0,1,0,0,0,"Poschiavo",3,15.1
"121","2009-05-27",1,0,1,0,0,0,1,0,0,0,1,0,0,"Poschiavo",260,15.7
"122","2009-05-31",1,0,1,0,0,0,1,0,0,0,1,0,0,"Poschiavo",0,8.6
"123","2009-06-10",2,0,1,0,0,1,1,1,0,1,0,0,1,"Poschiavo",0,12.3
"124","2009-06-22",1,0,1,0,0,0,1,0,0,0,0,1,0,"Poschiavo",255,12.9
"125","2009-07-17",1,0,0,1,0,0,0,1,0,0,1,0,0,"Poschiavo",0,16
"126","2009-07-21",1,0,0,1,0,0,1,0,0,0,1,0,0,"Poschiavo",0,16.8
"127","2009-07-31",1,0,1,0,0,0,1,0,0,0,0,0,1,"Poschiavo",0,15.8
"128","2009-08-07",1,0,1,0,0,0,0,1,0,1,0,0,0,"Poschiavo",0,19.4
"129","2009-08-19",1,0,1,0,0,0,1,0,0,1,0,0,0,"Poschiavo",0,20.1
"130","2009-08-30",1,0,0,0,0,1,0,1,0,0,0,1,0,"Poschiavo",1,13.5
"131","2009-09-11",1,0,0,1,0,0,0,1,0,0,1,0,0,"Poschiavo",0,12.4
"132","2009-09-12",1,0,0,0,0,1,0,1,0,0,1,0,0,"Poschiavo",0,11.5
"133","2009-09-15",2,0,2,0,0,0,2,0,0,0,2,0,0,"Poschiavo",0,10.7
"134","2009-09-22",1,0,0,0,1,0,0,1,0,0,1,0,0,"Poschiavo",0,12.9
"135","2009-09-24",1,0,1,0,0,0,1,0,0,1,0,0,0,"Poschiavo",0,14.2
"136","2009-09-25",2,0,2,0,0,0,2,0,0,0,2,0,0,"Poschiavo",0,12.4
"137","2009-09-29",1,0,0,1,0,0,1,0,0,0,1,0,0,"Poschiavo",0,11.1
"138","2009-09-30",1,0,0,0,1,0,0,1,0,0,1,0,0,"Poschiavo",0,12.1
"139","2009-10-09",2,0,0,0,0,2,0,2,0,0,1,1,0,"Poschiavo",0,12.9
"140","2009-10-14",1,0,0,0,1,0,1,0,0,0,1,0,0,"Poschiavo",282,4.2
"141","2009-10-19",3,0,0,0,2,1,1,2,1,0,2,0,0,"Poschiavo",0,0.3
"142","2009-10-21",1,0,0,0,1,0,1,0,1,0,0,0,0,"Poschiavo",0,5.3
"143","2009-10-23",2,0,1,0,0,1,1,1,0,0,2,0,0,"Poschiavo",130,8
"144","2009-10-24",1,0,0,0,1,0,0,1,0,0,1,0,0,"Poschiavo",121,10.1
