"","date","all","a014y","a1564y","a6574y","a7584y","a85plusy","mal","fem","inf","ment","cvd","resp","uri","station","f_id","temp"
"1","2007-11-12",1,0,1,0,0,0,0,1,0,1,0,0,0,"Visp",0,5.6
"2","2007-11-28",1,0,1,0,0,0,1,0,1,0,0,0,0,"Visp",0,-2.5
"3","2007-11-30",1,0,1,0,0,0,0,1,0,1,0,0,0,"Visp",0,0.7
"4","2007-12-04",1,0,1,0,0,0,1,0,0,0,0,0,1,"Visp",0,4.6
"5","2007-12-09",1,0,1,0,0,0,1,0,0,1,0,0,0,"Visp",0,1
"6","2007-12-17",1,0,0,0,1,0,0,1,0,0,0,1,0,"Visp",48,-3.7
"7","2007-12-21",1,0,0,1,0,0,1,0,0,0,0,1,0,"Visp",0,-5.6
"8","2007-12-22",1,0,0,0,0,1,0,1,0,0,1,0,0,"Visp",0,-2.3
"9","2007-12-26",1,0,0,0,1,0,1,0,0,0,1,0,0,"Visp",0,-3.4
"10","2007-12-28",1,0,0,0,0,1,0,1,0,0,0,1,0,"Visp",0,-6.9
"11","2007-12-29",2,0,0,0,1,1,1,1,0,0,0,1,1,"Visp",0,-5.2
"12","2007-12-30",4,1,1,0,1,1,0,4,0,0,1,3,0,"Visp",0,0
"13","2007-12-31",3,0,1,1,0,1,3,0,0,0,1,2,0,"Visp",0,-6
"14","2008-01-01",1,0,1,0,0,0,1,0,0,1,0,0,0,"Visp",0,-8
"15","2008-01-02",5,1,1,1,1,1,3,2,0,1,1,1,2,"Visp",61,-5.4
"16","2008-01-03",1,1,0,0,0,0,1,0,0,0,0,1,0,"Visp",255,2.7
"17","2008-01-04",2,0,2,0,0,0,2,0,1,1,0,0,0,"Visp",270,6.3
"18","2008-01-05",4,1,3,0,0,0,3,1,1,0,0,2,1,"Visp",143,6.6
"19","2008-01-06",3,0,1,0,2,0,2,1,0,1,1,1,0,"Visp",0,1.5
"20","2008-01-07",1,0,0,0,1,0,1,0,0,0,1,0,0,"Visp",0,3.1
"21","2008-01-08",3,0,2,1,0,0,2,1,1,1,1,0,0,"Visp",0,-0.2
"22","2008-01-09",4,0,1,1,1,1,2,2,0,0,1,3,0,"Visp",0,1
"23","2008-01-10",2,0,1,0,1,0,1,1,0,1,1,0,0,"Visp",0,0.3
"24","2008-01-11",3,1,1,0,0,1,1,2,0,0,0,2,1,"Visp",36,6.3
"25","2008-01-12",1,0,0,0,1,0,0,1,0,0,1,0,0,"Visp",0,2.2
"26","2008-01-13",1,0,0,0,0,1,1,0,0,0,0,1,0,"Visp",0,0.5
"27","2008-01-14",4,0,2,1,1,0,2,2,0,1,0,2,1,"Visp",4,4.6
"28","2008-01-15",2,0,0,0,0,2,1,1,0,1,0,0,1,"Visp",68,4.2
"29","2008-01-16",1,0,1,0,0,0,1,0,0,0,1,0,0,"Visp",85,5.1
"30","2008-01-17",3,0,2,1,0,0,3,0,0,2,0,1,0,"Visp",0,1.9
"31","2008-01-18",3,0,1,0,1,1,1,2,0,1,1,0,1,"Visp",0,1.9
"32","2008-01-19",3,0,1,0,1,1,1,2,1,0,1,0,1,"Visp",0,2.5
"33","2008-01-20",2,0,1,0,1,0,2,0,0,1,1,0,0,"Visp",0,0.3
"34","2008-01-21",2,0,2,0,0,0,1,1,0,1,1,0,0,"Visp",0,0.2
"35","2008-01-22",3,1,2,0,0,0,1,2,0,0,1,1,1,"Visp",0,4.6
"36","2008-01-23",2,0,1,1,0,0,1,1,0,0,0,2,0,"Visp",0,0
"37","2008-01-24",4,0,4,0,0,0,2,2,0,2,1,1,0,"Visp",0,-0.3
"38","2008-01-25",1,0,1,0,0,0,0,1,0,0,1,0,0,"Visp",0,1
"39","2008-01-26",4,1,2,0,1,0,3,1,1,1,2,0,0,"Visp",0,0
"40","2008-01-27",5,3,2,0,0,0,2,3,0,0,0,5,0,"Visp",0,-0.5
"41","2008-01-28",5,0,3,2,0,0,3,2,0,1,0,4,0,"Visp",0,1.2
"42","2008-01-29",1,0,1,0,0,0,0,1,0,1,0,0,0,"Visp",0,1.2
"43","2008-01-30",4,0,1,1,2,0,1,3,1,1,0,2,0,"Visp",0,1.8
"44","2008-01-31",4,0,4,0,0,0,4,0,1,1,2,0,0,"Visp",0,2
"45","2008-02-01",6,1,3,0,1,1,4,2,1,2,1,2,0,"Visp",58,4.3
"46","2008-02-02",2,0,1,1,0,0,0,2,0,1,1,0,0,"Visp",0,2.3
"47","2008-02-03",2,0,0,1,1,0,2,0,0,0,1,0,1,"Visp",150,3.3
"48","2008-02-04",6,0,1,3,1,1,4,2,1,1,2,2,0,"Visp",161,5.2
"49","2008-02-05",3,1,2,0,0,0,2,1,0,0,1,1,1,"Visp",0,2.4
"50","2008-02-06",3,1,0,1,1,0,3,0,2,0,0,1,0,"Visp",0,3.5
"51","2008-02-07",3,1,2,0,0,0,1,2,2,0,0,0,1,"Visp",0,3.7
"52","2008-02-08",2,1,0,0,0,1,0,2,2,0,0,0,0,"Visp",0,0.9
"53","2008-02-09",1,0,1,0,0,0,1,0,0,1,0,0,0,"Visp",0,0.3
"54","2008-02-10",1,0,1,0,0,0,0,1,0,1,0,0,0,"Visp",0,0.1
"55","2008-02-11",2,0,1,0,0,1,1,1,0,1,0,1,0,"Visp",0,-0.4
"56","2008-02-12",3,0,1,1,1,0,2,1,0,1,0,2,0,"Visp",0,-0.1
"57","2008-02-13",4,0,0,0,3,1,1,3,0,0,1,3,0,"Visp",0,-0.1
"58","2008-02-14",1,0,0,0,0,1,1,0,0,0,0,0,1,"Visp",0,0.1
"59","2008-02-15",4,2,2,0,0,0,1,3,2,0,0,2,0,"Visp",0,0
"60","2008-02-16",2,0,1,0,1,0,0,2,0,1,1,0,0,"Visp",0,-1.2
"61","2008-02-18",2,0,1,1,0,0,1,1,0,0,1,0,1,"Visp",0,-0.3
"62","2008-02-20",2,1,1,0,0,0,0,2,1,0,1,0,0,"Visp",0,3.3
"63","2008-02-21",3,1,2,0,0,0,2,1,1,0,1,1,0,"Visp",0,5.8
"64","2008-02-22",6,1,2,2,0,1,5,1,1,1,3,1,0,"Visp",0,5.8
"65","2008-02-23",2,1,0,1,0,0,2,0,1,0,0,0,1,"Visp",0,5
